title,desc,repo_name,repo_username,repo_url,repo_star
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",three.js,mrdoob,https://www.github.com/mrdoob,104000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",react-three-fiber,pmndrs,https://www.github.com/pmndrs,27900
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",libgdx,libgdx,https://www.github.com/libgdx,23600
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",Babylon.js,BabylonJS,https://www.github.com/BabylonJS,23500
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",FreeCAD,FreeCAD,https://www.github.com/FreeCAD,22300
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",tinyrenderer,ssloy,https://www.github.com/ssloy,21000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",3d-game-shaders-for-beginners,lettier,https://www.github.com/lettier,18200
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",aframe,aframevr,https://www.github.com/aframevr,16800
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",blender,blender,https://www.github.com/blender,13800
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",cesium,CesiumGS,https://www.github.com/CesiumGS,13200
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",GDevelop,4ian,https://www.github.com/4ian,12200
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",Open3D,isl-org,https://www.github.com/isl-org,11700
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",MonoGame,MonoGame,https://www.github.com/MonoGame,11700
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",mapbox-gl-js,mapbox,https://www.github.com/mapbox,11300
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",zdog,metafizzy,https://www.github.com/metafizzy,10400
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",3D-Machine-Learning,timzhang642,https://www.github.com/timzhang642,9800
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",nerfstudio,nerfstudio-project,https://www.github.com/nerfstudio-project,9700
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",cocos-engine,cocos,https://www.github.com/cocos,9000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",BlenderGIS,domlysz,https://www.github.com/domlysz,7900
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",Fyrox,FyroxEngine,https://www.github.com/FyroxEngine,7800
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",Blog,ljianshu,https://www.github.com/ljianshu,7900
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",infinite-scroll,metafizzy,https://www.github.com/metafizzy,7400
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",tabulator,olifolkerd,https://www.github.com/olifolkerd,6900
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",unfetch,developit,https://www.github.com/developit,5700
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",form,jquery-form,https://www.github.com/jquery-form,5200
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",wretch,elbywan,https://www.github.com/elbywan,4900
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",elFinder,Studio-42,https://www.github.com/Studio-42,4700
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",learn-to-send-email-via-google-script-html-no-server,dwyl,https://www.github.com/dwyl,3200
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",alova,alovajs,https://www.github.com/alovajs,3000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",reqwest,ded,https://www.github.com/ded,2900
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",ajax-hook,wendux,https://www.github.com/wendux,2600
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",bliss,LeaVerou,https://www.github.com/LeaVerou,2400
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",featherlight,noelboss,https://www.github.com/noelboss,2100
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",tsrpc,k8w,https://www.github.com/k8w,1900
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",jquery-confirm,craftpip,https://www.github.com/craftpip,1900
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",tracy,nette,https://www.github.com/nette,1800
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",css-spinner,loadingio,https://www.github.com/loadingio,1700
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",sente,taoensso,https://www.github.com/taoensso,1700
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",eCommerce,codingforentrepreneurs,https://www.github.com/codingforentrepreneurs,1600
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",Enterprise,joaomilho,https://www.github.com/joaomilho,1600
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",coding-interview-university,jwasham,https://www.github.com/jwasham,309000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",Python,TheAlgorithms,https://www.github.com/TheAlgorithms,196000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",javascript-algorithms,trekhleb,https://www.github.com/trekhleb,189000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",CS-Notes,CyC2018,https://www.github.com/CyC2018,178000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",tech-interview-handbook,yangshun,https://www.github.com/yangshun,120000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",hello-algo,krahets,https://www.github.com/krahets,106000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",interviews,kdn251,https://www.github.com/kdn251,63800
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",Java,TheAlgorithms,https://www.github.com/TheAlgorithms,60500
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",leetcode,azl397985856,https://www.github.com/azl397985856,54900
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",leetcode-master,youngyangyang04,https://www.github.com/youngyangyang04,53000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",algorithm-visualizer,algorithm-visualizer,https://www.github.com/algorithm-visualizer,47000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",interview,huihut,https://www.github.com/huihut,35200
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",LeetCode-Go,halfrost,https://www.github.com/halfrost,33200
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",JavaScript,TheAlgorithms,https://www.github.com/TheAlgorithms,32700
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",C-Plus-Plus,TheAlgorithms,https://www.github.com/TheAlgorithms,31000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",interactive-coding-challenges,donnemartin,https://www.github.com/donnemartin,29700
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",JCSprout,crossoverJie,https://www.github.com/crossoverJie,27100
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",algorithms,keon,https://www.github.com/keon,24200
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",PythonRobotics,AtsushiSakai,https://www.github.com/AtsushiSakai,23900
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",WaveFunctionCollapse,mxgmn,https://www.github.com/mxgmn,23500
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",amp,amphp,https://www.github.com/amphp,4300
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",MadelineProto,danog,https://www.github.com/danog,2900
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",parallel,amphp,https://www.github.com/amphp,79000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",telegram-api,unreal4u,https://www.github.com/unreal4u,79000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",http-client,amphp,https://www.github.com/amphp,70000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",byte-stream,amphp,https://www.github.com/amphp,37000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",mysql,amphp,https://www.github.com/amphp,36000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",service-bus,php-service-bus,https://www.github.com/php-service-bus,34000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",parallel-functions,amphp,https://www.github.com/amphp,27000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",TelegramRSS,xtrime-ru,https://www.github.com/xtrime-ru,25000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",socket,amphp,https://www.github.com/amphp,23000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",process,amphp,https://www.github.com/amphp,23000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",sync,amphp,https://www.github.com/amphp,16000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",dns,amphp,https://www.github.com/amphp,16000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",redis,amphp,https://www.github.com/amphp,16000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",websocket-client,amphp,https://www.github.com/amphp,14000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",acme,kelunik,https://www.github.com/kelunik,12000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",serialization,amphp,https://www.github.com/amphp,11000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",websocket-server,amphp,https://www.github.com/amphp,11000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",cache,amphp,https://www.github.com/amphp,10000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",flutter,flutter,https://www.github.com/flutter,168000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",react-native,facebook,https://www.github.com/facebook,120000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",scrcpy,Genymobile,https://www.github.com/Genymobile,115000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",free-programming-books-zh_CN,justjavac,https://www.github.com/justjavac,112000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",Awesome-Hacking,Hack-with-Github,https://www.github.com/Hack-with-Github,87300
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",awesome-flutter,Solido,https://www.github.com/Solido,54200
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",tldr,tldr-pages,https://www.github.com/tldr-pages,52500
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",awesome-android-ui,wasabeef,https://www.github.com/wasabeef,51100
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",material-design-icons,google,https://www.github.com/google,50900
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",joplin,laurent22,https://www.github.com/laurent22,46900
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",appwrite,appwrite,https://www.github.com/appwrite,46300
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",okhttp,square,https://www.github.com/square,46000
